id,commit_id,file_path,status,additions,deletions,changes,patch,previous_filename,file_type,blob_before_local_path,blob_after_local_path,metadata
62850350-09e0-450a-8aeb-a7028d433523,6385c570-e56a-4e77-b505-fcde2a4591ae,tests/custom_pk/fields.py,modified,3,0,3,"@@ -19,6 +19,9 @@ def __eq__(self, other):
             return self.value == other.value
         return self.value == other
 
+    def __hash__(self):
+        return hash(self.value)
+
 
 class MyWrapperField(models.CharField):
     def __init__(self, *args, **kwargs):",,py,.\tmp\github_file_blobs\django\django\8fd21b0da35697591e86f4eab0035c4360a45144\before\tests_custom_pk_fields.py,.\tmp\github_file_blobs\django\django\8fd21b0da35697591e86f4eab0035c4360a45144\after\tests_custom_pk_fields.py,{}
45ad3cee-18bc-4464-835e-ca629b89cea1,1c464aeb-9cff-49a4-8d03-af0742ff351d,src/transformers/models/qwen2_audio/processing_qwen2_audio.py,modified,1,1,2,"@@ -248,7 +248,7 @@ def default_chat_template(self):
                     ""{{ message['content'] }}<|im_end|>\n""
                 ""{% else %}""
                     ""{% for content in message['content'] %}""
-                        ""{% if 'audio' in content or 'audio_url' in content or message['type'] == 'audio' %}""
+                        ""{% if 'audio' in content or 'audio_url' in content or message['type'] == 'audio' or content['type'] == 'audio' %}""
                             ""{% set audio_count.value = audio_count.value + 1 %}""
                             ""Audio {{ audio_count.value }}: <|audio_bos|><|AUDIO|><|audio_eos|>\n""
                         ""{% elif 'text' in content %}""",,py,.\tmp\github_file_blobs\huggingface\transformers\d7b87b415a5dd4a3152051e1a0abd098a02c5bfa\before\src_transformers_models_qwen2_audio_processing_qwen2_audio.py,.\tmp\github_file_blobs\huggingface\transformers\d7b87b415a5dd4a3152051e1a0abd098a02c5bfa\after\src_transformers_models_qwen2_audio_processing_qwen2_audio.py,{}
cc8b76a7-06ec-44d9-b6c8-a6308f29091c,194ba04b-345d-4efd-95fc-80ee458fc195,src/transformers/models/auto/modeling_auto.py,modified,0,5,5,"@@ -1529,11 +1529,6 @@
 MODEL_FOR_MASK_GENERATION_MAPPING_NAMES = OrderedDict(
     [
         (""sam"", ""SamModel""),
-    ]
-)
-
-MODEL_FOR_MASK_GENERATION_MAPPING_NAMES = OrderedDict(
-    [
         (""sam_hq"", ""SamHQModel""),
     ]
 )",,py,.\tmp\github_file_blobs\huggingface\transformers\237ff80387ef453b1bb341c0b5d6cbcb5e60758d\before\src_transformers_models_auto_modeling_auto.py,.\tmp\github_file_blobs\huggingface\transformers\237ff80387ef453b1bb341c0b5d6cbcb5e60758d\after\src_transformers_models_auto_modeling_auto.py,{}
5b0d1931-8c4f-4621-8306-1ced7aadbdfa,1be8688e-07fb-4ef0-8412-040a1aaaa8f3,docs/source/en/internal/import_utils.md,modified,1,1,2,"@@ -38,7 +38,7 @@ However, no method can be called on that object:
 ```python
 >>> DetrImageProcessorFast.from_pretrained()
 ImportError: 
-DetrImageProcessorFast requires the Torchvision library but it was not found in your environment. Checkout the instructions on the
+DetrImageProcessorFast requires the Torchvision library but it was not found in your environment. Check out the instructions on the
 installation page: https://pytorch.org/get-started/locally/ and follow the ones that match your environment.
 Please note that you may need to restart your runtime after installation.
 ```",,md,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\before\docs_source_en_internal_import_utils.md,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\after\docs_source_en_internal_import_utils.md,{}
b745f2e2-cbad-4952-b993-a69f51b87751,1be8688e-07fb-4ef0-8412-040a1aaaa8f3,examples/flax/question-answering/run_qa.py,modified,1,1,2,"@@ -546,7 +546,7 @@ def main():
     # region Tokenizer check: this script requires a fast tokenizer.
     if not isinstance(tokenizer, PreTrainedTokenizerFast):
         raise ValueError(
-            ""This example script only works for models that have a fast tokenizer. Checkout the big table of models at""
+            ""This example script only works for models that have a fast tokenizer. Check out the big table of models at""
             "" https://huggingface.co/transformers/index.html#supported-frameworks to find the model types that meet""
             "" this requirement""
         )",,py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\before\examples_flax_question-answering_run_qa.py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\after\examples_flax_question-answering_run_qa.py,{}
378bd05d-0511-4a54-8bc0-8dbd16f76246,1be8688e-07fb-4ef0-8412-040a1aaaa8f3,examples/modular-transformers/configuration_my_new_model.py,modified,1,1,2,"@@ -36,7 +36,7 @@ class MyNewModelConfig(PretrainedConfig):
             `num_key_value_heads=num_attention_heads`, the model will use Multi Head Attention (MHA), if
             `num_key_value_heads=1` the model will use Multi Query Attention (MQA) otherwise GQA is used. When
             converting a multi-head checkpoint to a GQA checkpoint, each group key and value head should be constructed
-            by meanpooling all the original heads within that group. For more details checkout [this
+            by meanpooling all the original heads within that group. For more details, check out [this
             paper](https://arxiv.org/pdf/2305.13245.pdf). If it is not specified, will default to
             `num_attention_heads`.
         hidden_act (`str` or `function`, *optional*, defaults to `""silu""`):",,py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\before\examples_modular-transformers_configuration_my_new_model.py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\after\examples_modular-transformers_configuration_my_new_model.py,{}
3967ca00-8528-4182-b8c6-6536f3a91cae,1be8688e-07fb-4ef0-8412-040a1aaaa8f3,examples/modular-transformers/configuration_new_model.py,modified,1,1,2,"@@ -34,7 +34,7 @@ class NewModelConfig(PretrainedConfig):
             `num_key_value_heads=num_attention_heads`, the model will use Multi Head Attention (MHA), if
             `num_key_value_heads=1` the model will use Multi Query Attention (MQA) otherwise GQA is used. When
             converting a multi-head checkpoint to a GQA checkpoint, each group key and value head should be constructed
-            by meanpooling all the original heads within that group. For more details checkout [this
+            by meanpooling all the original heads within that group. For more details, check out [this
             paper](https://arxiv.org/pdf/2305.13245.pdf). If it is not specified, will default to
             `num_attention_heads`.
         head_dim (`int`, *optional*, defaults to 256):",,py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\before\examples_modular-transformers_configuration_new_model.py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\after\examples_modular-transformers_configuration_new_model.py,{}
feb8a048-e2a5-460d-b472-5f7cb463faf8,1be8688e-07fb-4ef0-8412-040a1aaaa8f3,examples/pytorch/question-answering/run_qa.py,modified,1,1,2,"@@ -357,7 +357,7 @@ def main():
     # Tokenizer check: this script requires a fast tokenizer.
     if not isinstance(tokenizer, PreTrainedTokenizerFast):
         raise ValueError(
-            ""This example script only works for models that have a fast tokenizer. Checkout the big table of models at""
+            ""This example script only works for models that have a fast tokenizer. Check out the big table of models at""
             "" https://huggingface.co/transformers/index.html#supported-frameworks to find the model types that meet""
             "" this requirement""
         )",,py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\before\examples_pytorch_question-answering_run_qa.py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\after\examples_pytorch_question-answering_run_qa.py,{}
065a17e5-8218-4aaa-aaa8-277c0d9b48ac,1be8688e-07fb-4ef0-8412-040a1aaaa8f3,examples/pytorch/token-classification/run_ner.py,modified,1,1,2,"@@ -399,7 +399,7 @@ def get_label_list(labels):
     # Tokenizer check: this script requires a fast tokenizer.
     if not isinstance(tokenizer, PreTrainedTokenizerFast):
         raise ValueError(
-            ""This example script only works for models that have a fast tokenizer. Checkout the big table of models at""
+            ""This example script only works for models that have a fast tokenizer. Check out the big table of models at""
             "" https://huggingface.co/transformers/index.html#supported-frameworks to find the model types that meet""
             "" this requirement""
         )",,py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\before\examples_pytorch_token-classification_run_ner.py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\after\examples_pytorch_token-classification_run_ner.py,{}
15b06cc1-461e-45aa-8a08-487a95b214ea,1be8688e-07fb-4ef0-8412-040a1aaaa8f3,examples/tensorflow/question-answering/run_qa.py,modified,1,1,2,"@@ -378,7 +378,7 @@ def main():
     # region Tokenizer check: this script requires a fast tokenizer.
     if not isinstance(tokenizer, PreTrainedTokenizerFast):
         raise ValueError(
-            ""This example script only works for models that have a fast tokenizer. Checkout the big table of models at""
+            ""This example script only works for models that have a fast tokenizer. Check out the big table of models at""
             "" https://huggingface.co/transformers/index.html#supported-frameworks to find the model types that meet""
             "" this requirement""
         )",,py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\before\examples_tensorflow_question-answering_run_qa.py,.\tmp\github_file_blobs\huggingface\transformers\19224c3642705c5b6988c9f5f4251f83323d05ae\after\examples_tensorflow_question-answering_run_qa.py,{}
